Model,Accuracy,Precision,Recall,F1_Score,CV_Score,Is_Best_Model
SVM,0.9760765550239234,0.9760390093358272,0.9760765550239234,0.975340700598822,0.9885633467228423,1
LogisticRegression,0.9730861244019139,0.9728090484388814,0.9730861244019139,0.9722881565112442,0.9881205552494595,0
RandomForest,0.9712918660287081,0.9720028079272272,0.9712918660287081,0.9698737956171672,0.9872902532633928,0
MultinomialNB,0.9688995215311005,0.9695327891922318,0.9688995215311005,0.9672870293322238,0.9874116181849043,0
XGBoost,0.9623205741626795,0.9624225518748446,0.9623205741626795,0.9602263942255433,0.9823247101520691,0
DecisionTree,0.9473684210526315,0.9454632516249974,0.9473684210526315,0.9458660330717353,0.9780106535735602,0
KNN,0.937200956937799,0.9414468677694353,0.937200956937799,0.9286874755578169,0.9639008008887728,0
