Model,Best_Parameters,CV_Score
LogisticRegression,"{
  ""C"": 100,
  ""max_iter"": 100,
  ""solver"": ""lbfgs""
}",0.9875351729364127
DecisionTree,"{
  ""criterion"": ""gini"",
  ""max_depth"": null,
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 2
}",0.9786320316497334
SVM,"{
  ""C"": 1,
  ""gamma"": ""scale"",
  ""kernel"": ""linear""
}",0.9882791597365495
KNN,"{
  ""metric"": ""manhattan"",
  ""n_neighbors"": 3,
  ""weights"": ""distance""
}",0.9636233131990224
RandomForest,"{
  ""max_depth"": null,
  ""max_features"": ""sqrt"",
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10,
  ""n_estimators"": 200
}",0.9865600046479086
MultinomialNB,"{
  ""alpha"": 0.5,
  ""fit_prior"": true
}",0.9879935523944328
XGBoost,"{
  ""learning_rate"": 0.2,
  ""max_depth"": 3,
  ""n_estimators"": 200,
  ""subsample"": 1.0
}",0.9826229981097141
