Model,Accuracy,Precision,Recall,F1_Score,CV_Score,Is_Best_Model
SVM,0.9760765550239234,0.9761433682486313,0.9760765550239234,0.975287151732363,0.9882791597365495,1
LogisticRegression,0.972488038277512,0.9722094492718374,0.972488038277512,0.9716418056886452,0.9875351729364127,0
RandomForest,0.9700956937799043,0.9706704890633984,0.9700956937799043,0.9686185371012158,0.9865600046479086,0
MultinomialNB,0.9671052631578947,0.9678311045209532,0.9671052631578947,0.9652770108318236,0.9879935523944328,0
XGBoost,0.9581339712918661,0.9583543193150421,0.9581339712918661,0.9554318633889599,0.9826229981097141,0
DecisionTree,0.9503588516746412,0.948575693997141,0.9503588516746412,0.9487765530101784,0.9786320316497334,0
KNN,0.937200956937799,0.9414468677694353,0.937200956937799,0.9286874755578169,0.9636233131990224,0
